step_time,reward,total_stopped,total_wait_time,episode,terminal_observation
1830.0,0.7000000000000002,14,445.0,,
1835.0,-0.2699999999999996,17,472.0,,
1840.0,-0.22000000000000064,18,494.0,,
1845.0,-0.3299999999999992,16,527.0,,
1850.0,0.019999999999999574,14,525.0,,
1855.0,-0.20000000000000018,18,545.0,,
1860.0,-0.3199999999999994,22,577.0,,
1865.0,-0.21000000000000085,25,598.0,,
1870.0,-0.8199999999999994,26,680.0,,
1875.0,-0.4800000000000004,28,728.0,,
1880.0,-0.27999999999999936,24,756.0,,
1885.0,-0.4500000000000002,18,801.0,,
1890.0,2.08,15,593.0,,
1895.0,0.6399999999999997,22,529.0,,
1900.0,-0.4500000000000002,23,574.0,,
1905.0,-0.4299999999999997,26,617.0,,
1910.0,-0.5600000000000005,28,673.0,,
1915.0,-0.22999999999999954,28,696.0,,
1920.0,0.29000000000000004,25,667.0,,
1925.0,0.3200000000000003,16,635.0,,
1930.0,0.8999999999999995,13,545.0,,
1935.0,-0.04999999999999982,15,550.0,,
1940.0,0.41000000000000014,14,509.0,,
1945.0,0.6799999999999997,12,441.0,,
1950.0,0.20999999999999996,12,420.0,,
1955.0,-0.019999999999999574,13,422.0,,
1960.0,0.4299999999999997,14,379.0,,
1965.0,0.96,14,283.0,,
1970.0,-0.44999999999999973,17,328.0,,
1975.0,-0.48,18,376.0,,
1980.0,-0.6100000000000003,19,437.0,,
1985.0,-0.8300000000000001,18,520.0,,
1990.0,0.15000000000000036,15,505.0,,
1995.0,0.46999999999999975,19,458.0,,
2000.0,0.3700000000000001,21,421.0,,
2005.0,0.54,26,367.0,,
2010.0,-0.9400000000000004,28,461.0,,
2015.0,-0.71,28,532.0,,
2020.0,-0.4499999999999993,27,577.0,,
2025.0,-0.3600000000000003,18,613.0,,
2030.0,0.17999999999999972,12,595.0,,
2035.0,0.7300000000000004,17,522.0,,
2040.0,-0.23000000000000043,19,545.0,,
2045.0,-0.9799999999999995,30,643.0,,
2050.0,-1.1400000000000006,32,757.0,,
2055.0,-1.2799999999999994,37,885.0,,
2060.0,-1.0899999999999999,37,994.0,,
2065.0,-0.15000000000000036,28,1009.0,,
2070.0,-1.2200000000000006,26,1131.0,,
2075.0,-1.0599999999999987,24,1237.0,,
2080.0,-0.7900000000000009,20,1316.0,,
2085.0,-0.9399999999999995,26,1410.0,,
2090.0,-0.28000000000000114,28,1438.0,,
2095.0,0.8500000000000014,25,1353.0,,
2100.0,1.8099999999999987,20,1172.0,,
2105.0,0.7700000000000014,18,1095.0,,
2110.0,0.16999999999999993,10,1078.0,,
2115.0,-0.6000000000000014,17,1138.0,,
2120.0,-0.35999999999999943,17,1174.0,,
2125.0,-0.5700000000000003,23,1231.0,,
2130.0,-0.17999999999999972,23,1249.0,,
2135.0,0.8599999999999994,23,1163.0,,
2140.0,1.5300000000000011,25,1010.0,,
2145.0,-0.8600000000000012,15,1096.0,,
2150.0,-0.5999999999999996,14,1156.0,,
2155.0,-0.6399999999999988,20,1220.0,,
2160.0,-1.1100000000000012,26,1331.0,,
2165.0,-0.11999999999999922,26,1343.0,,
2170.0,0.3200000000000003,23,1311.0,,
2175.0,0.5599999999999987,23,1255.0,,
2180.0,3.4300000000000015,15,912.0,,
2185.0,3.9399999999999995,14,518.0,,
2190.0,-0.6100000000000003,18,579.0,,
2195.0,-1.0599999999999996,25,685.0,,
2200.0,-0.5200000000000005,26,737.0,,
2205.0,0.7400000000000002,23,663.0,,
2210.0,0.6600000000000001,23,597.0,,
2215.0,0.6299999999999999,17,534.0,,
2220.0,0.4900000000000002,7,485.0,,
2225.0,0.5699999999999994,12,428.0,,
2230.0,-0.1200000000000001,14,440.0,,
2235.0,0.5200000000000005,12,388.0,,
2240.0,0.41999999999999993,10,346.0,,
2245.0,0.08000000000000007,14,338.0,,
2250.0,-0.5700000000000003,18,395.0,,
2255.0,-0.05999999999999961,16,401.0,,
2260.0,-0.96,23,497.0,,
2265.0,-0.08000000000000007,24,505.0,,
2270.0,0.5,26,455.0,,
2275.0,-0.5200000000000005,32,507.0,,
2280.0,-1.7999999999999998,39,687.0,,
2285.0,-2.2600000000000007,48,913.0,,
2290.0,-1.0599999999999987,45,1019.0,,
2295.0,-0.41999999999999993,43,1061.0,,
2300.0,-1.1100000000000012,39,1172.0,,
2305.0,-0.06999999999999851,30,1179.0,,
2310.0,0.6199999999999992,24,1117.0,,
2315.0,1.0099999999999998,15,1016.0,,
2320.0,1.1600000000000001,17,900.0,,
2325.0,-0.03999999999999915,18,904.0,,
2330.0,-1.040000000000001,23,1008.0,,
2335.0,-0.17999999999999972,23,1026.0,,
2340.0,0.6400000000000006,24,962.0,,
2345.0,-0.20000000000000107,27,982.0,,
2350.0,0.7400000000000002,27,908.0,,
2355.0,1.3499999999999996,32,773.0,,
2360.0,0.14000000000000057,24,759.0,,
2365.0,-0.8499999999999996,22,844.0,,
2370.0,-1.25,28,969.0,,
2375.0,-0.4800000000000004,26,1017.0,,
2380.0,-0.08999999999999986,29,1026.0,,
2385.0,-1.0600000000000005,34,1132.0,,
2390.0,-0.5099999999999998,37,1183.0,,
2395.0,0.11999999999999922,36,1171.0,,
2400.0,1.8600000000000012,23,985.0,,
2405.0,0.29999999999999893,23,955.0,,
2410.0,0.02000000000000135,23,953.0,,
2415.0,0.28999999999999915,25,924.0,,
2420.0,-0.6099999999999994,23,985.0,,
2425.0,-1.3900000000000006,32,1124.0,,
2430.0,-0.4399999999999995,34,1168.0,,
2435.0,0.5,33,1118.0,,
2440.0,0.21999999999999886,37,1096.0,,
2445.0,0.8900000000000006,42,1007.0,,
2450.0,-0.7899999999999991,45,1086.0,,
2455.0,-0.40000000000000036,38,1126.0,,
2460.0,0.1999999999999993,32,1106.0,,
2465.0,0.20000000000000107,28,1086.0,,
2470.0,0.8599999999999994,18,1000.0,,
2475.0,1.1199999999999992,16,888.0,,
2480.0,-0.1999999999999993,18,908.0,,
2485.0,0.40000000000000036,21,868.0,,
2490.0,-0.6300000000000008,23,931.0,,
2495.0,-1.2400000000000002,28,1055.0,,
2500.0,-0.5399999999999991,33,1109.0,,
2505.0,0.22000000000000064,33,1087.0,,
2510.0,-1.1100000000000012,40,1198.0,,
2515.0,-0.4399999999999995,44,1242.0,,
2520.0,1.1300000000000008,40,1129.0,,
2525.0,-0.20000000000000107,38,1149.0,,
2530.0,0.6300000000000008,30,1086.0,,
2535.0,1.2799999999999994,26,958.0,,
2540.0,1.0099999999999998,22,857.0,,
2545.0,-0.019999999999999574,12,859.0,,
2550.0,0.14000000000000057,18,845.0,,
2555.0,-0.07000000000000028,18,852.0,,
2560.0,0.5399999999999991,17,798.0,,
2565.0,1.1900000000000004,16,679.0,,
2570.0,0.7800000000000002,17,601.0,,
2575.0,0.3199999999999994,19,569.0,,
2580.0,0.3600000000000003,16,533.0,,
2585.0,1.4,14,393.0,,
2590.0,0.14000000000000012,14,379.0,,
2595.0,-0.54,17,433.0,,
2600.0,-0.5800000000000001,16,491.0,,
2605.0,0.5700000000000003,17,434.0,,
2610.0,-1.13,25,547.0,,
2615.0,-0.41000000000000014,26,588.0,,
2620.0,0.16000000000000014,29,572.0,,
2625.0,-0.08000000000000007,33,580.0,,
2630.0,-0.03000000000000025,41,583.0,,
2635.0,-1.1799999999999997,38,701.0,,
2640.0,-0.5099999999999998,30,752.0,,
2645.0,0.25,25,727.0,,
2650.0,-0.6300000000000008,15,790.0,,
2655.0,-0.35999999999999943,19,826.0,,
2660.0,-0.120000000000001,20,838.0,,
2665.0,0.7000000000000011,20,768.0,,
2670.0,-0.28000000000000025,23,796.0,,
2675.0,0.5199999999999996,23,744.0,,
2680.0,1.1600000000000001,24,628.0,,
2685.0,0.4500000000000002,17,583.0,,
2690.0,1.33,14,450.0,,
2695.0,-0.3899999999999997,15,489.0,,
2700.0,-0.9500000000000002,22,584.0,,
2705.0,-0.3600000000000003,23,620.0,,
2710.0,0.03000000000000025,26,617.0,,
2715.0,-0.20999999999999996,30,638.0,,
2720.0,0.2999999999999998,30,608.0,,
2725.0,-0.08999999999999986,28,617.0,,
2730.0,0.0,21,617.0,,
2735.0,-0.13999999999999968,15,631.0,,
2740.0,-0.20999999999999996,17,652.0,,
2745.0,-0.75,19,727.0,,
2750.0,-1.2100000000000009,29,848.0,,
2755.0,-0.5499999999999989,29,903.0,,
2760.0,0.049999999999998934,30,898.0,,
2765.0,0.28000000000000114,30,870.0,,
2770.0,1.0199999999999996,34,768.0,,
2775.0,-0.5199999999999996,37,820.0,,
2780.0,-0.16000000000000014,30,836.0,,
2785.0,0.46999999999999975,28,789.0,,
2790.0,-0.1299999999999999,22,802.0,,
2795.0,-0.75,20,877.0,,
2800.0,-1.2300000000000004,27,1000.0,,
2805.0,-0.2699999999999996,27,1027.0,,
2810.0,0.33999999999999986,28,993.0,,
2815.0,-0.4900000000000002,29,1042.0,,
2820.0,0.02999999999999936,30,1039.0,,
2825.0,0.75,27,964.0,,
2830.0,1.2700000000000014,20,837.0,,
2835.0,-0.3500000000000014,24,872.0,,
2840.0,0.3200000000000003,24,840.0,,
2845.0,0.16999999999999993,22,823.0,,
2850.0,0.20000000000000107,18,803.0,,
2855.0,1.4999999999999991,17,653.0,,
2860.0,-0.5299999999999994,22,706.0,,
2865.0,-0.41000000000000014,22,747.0,,
2870.0,0.6899999999999995,18,678.0,,
2875.0,1.21,19,557.0,,
2880.0,-0.6999999999999993,22,627.0,,
2885.0,-0.4800000000000004,21,675.0,,
2890.0,0.11000000000000032,17,664.0,,
2895.0,0.7599999999999998,20,588.0,,
2900.0,-0.16000000000000014,22,604.0,,
2905.0,-0.5300000000000002,23,657.0,,
2910.0,0.2600000000000007,16,631.0,,
2915.0,0.29000000000000004,19,602.0,,
2920.0,-0.16000000000000014,21,618.0,,
2925.0,-0.08999999999999986,25,627.0,,
2930.0,-0.8100000000000005,27,708.0,,
2935.0,-0.4500000000000002,29,753.0,,
2940.0,-0.09999999999999964,26,763.0,,
2945.0,1.38,17,625.0,,
2950.0,0.04999999999999982,20,620.0,,
2955.0,-0.39999999999999947,23,660.0,,
2960.0,-0.0600000000000005,25,666.0,,
2965.0,-0.3899999999999997,26,705.0,,
2970.0,-0.16999999999999993,31,722.0,,
2975.0,0.009999999999999787,24,721.0,,
2980.0,0.3899999999999997,18,682.0,,
2985.0,-0.1999999999999993,19,702.0,,
2990.0,0.4499999999999993,18,657.0,,
2995.0,0.75,15,582.0,,
3000.0,0.27000000000000046,17,555.0,,
3005.0,0.1899999999999995,15,536.0,,
3010.0,0.7400000000000002,16,462.0,,
3015.0,-0.41000000000000014,19,503.0,,
3020.0,-0.09999999999999964,19,513.0,,
3025.0,-0.3799999999999999,20,551.0,,
3030.0,-0.07000000000000028,14,558.0,,
3035.0,0.2599999999999998,16,532.0,,
3040.0,-0.6699999999999999,24,599.0,,
3045.0,-0.79,22,678.0,,
3050.0,0.5700000000000003,15,621.0,,
3055.0,1.8099999999999996,16,440.0,,
3060.0,-0.5899999999999999,18,499.0,,
3065.0,-0.34999999999999964,19,534.0,,
3070.0,-0.1200000000000001,13,546.0,,
3075.0,-0.07000000000000028,18,553.0,,
3080.0,-0.75,21,628.0,,
3085.0,-0.3199999999999994,20,660.0,,
3090.0,-0.10000000000000053,16,670.0,,
3095.0,0.2999999999999998,19,640.0,,
3100.0,-0.5199999999999996,19,692.0,,
3105.0,-0.27000000000000046,17,719.0,,
3110.0,0.14000000000000057,13,705.0,,
